"data.circle","data.time_span","data.color"
"top-right",6409.45079,"Blue"
"bottom-left",5399.65457,"Yellow"
"bottom-right",8586.9249381,"Orange"
"center",16825.18554,"Red"
"none",12683.98643,"white"
"top-left",5122.76648,"Green"
"top-right",5779.82442,"Blue"
"bottom-left",6096.51606,"Green"
"bottom-right",4347.56882,"Orange"
"center",19835.98204,"Blue"
"none",11466.09505,"white"
"top-left",5361.804796,"Red"
"top-right",7349.86052,"Yellow"
"bottom-left",6672.17369,"Yellow"
"bottom-right",10355.67536,"Red"
"center",7763.9197,"Blue"
"none",13268.71431,"white"
"top-left",5003.34468,"Green"
"top-right",8146.72162,"Orange"
"bottom-left",3533.63215,"Yellow"
"bottom-right",3256.22324,"Blue"
"center",13630.05243,"Red"
"none",17406.86864,"white"
"top-left",6521.28,"Green"
"top-right",5814.78733,"Orange"
"bottom-left",2185.67482,"Orange"
"bottom-right",5406.38445,"Blue"
"center",18314.615869,"Yellow"
"none",14454.48664,"white"
"top-left",9913.02798,"Green"
"top-right",4042.45984,"Red"
"bottom-left",3520.07043,"Orange"
"bottom-right",3069.09994,"Yellow"
"center",11430.49439,"Blue"
"none",19437.614174,"white"
"top-left",4558.08617,"Green"
"top-right",9122.94047,"Red"
"bottom-left",3066.9689,"Orange"
"bottom-right",6496.41542,"Red"
"center",16372.266329,"Yellow"
"none",11969.92801,"white"
"top-left",9884.79359,"Green"
"top-right",6857.57256,"Blue"
"bottom-left",6373.1798,"Orange"
"bottom-right",6103.39343,"Yellow"
"center",16416.95407,"Red"
"none",14672.00369,"white"
"top-left",4475.33896,"Green"
"top-right",9692.16487,"Blue"
"bottom-left",6613.124194,"Orange"
"bottom-right",3112.71215,"Red"
"center",12739.98132,"Blue"
"none",18243.35324,"white"
"top-left",9898.04217,"Green"
"top-right",6921.00935,"Yellow"
"bottom-left",10028.89165,"Orange"
"bottom-right",5593.49683,"Blue"
"center",13633.08915,"Red"
"none",13874.68823,"white"
"top-left",6129.2236,"Green"
"top-right",8124.69158,"Yellow"
"bottom-left",3568.75996,"Red"
"bottom-right",2416.33559,"Yellow"
"center",15326.82632,"Orange"
"none",14069.75478,"white"
"top-left",14853.69891,"Blue"
"top-right",2566.47295,"Green"
"bottom-left",2341.20019,"Red"
"bottom-right",9696.15433,"Orange"
"center",9777.28448,"Yellow"
"none",20729.2268473,"white"
"top-left",3341.308803,"Blue"
"top-right",11731.640581,"Green"
"bottom-left",1828.80408,"Green"
"bottom-right",5375.724233,"Blue"
"center",9597.888399,"Yellow"
"none",21035.97183,"white"
"top-left",11609.94265,"Red"
"top-right",4882.34515,"Orange"
"bottom-left",8872.72313,"Red"
"bottom-right",4076.21095,"Green"
"center",9327.10213,"Orange"
"none",19831.41484,"white"
"top-left",7996.488144,"Blue"
"top-right",4286.05156,"Yellow"
"bottom-left",4450.2524,"Red"
"bottom-right",9570.88696,"Orange"
"center",9483.64317,"Green"
"none",20870.512072,"white"
"top-left",6535.85293,"Blue"
"top-right",5452.24984,"Yellow"
"bottom-left",3742.05099,"Red"
"bottom-right",1370.09627,"Green"
"center",21962.649685,"Yellow"
"none",16670.36565,"white"
"top-left",3698.90239,"Blue"
"top-right",6863.45772,"Orange"
"bottom-left",4656.672775,"Red"
"bottom-right",8266.00485,"Yellow"
"center",8809.05276,"Green"
"none",10997.918213,"white"
"top-left",7241.00409,"Blue"
"top-right",14449.26911,"Orange"
"bottom-left",6052.78305,"Green"
"bottom-right",15176.97292,"Yellow"
"center",12181.43289,"Orange"
"none",12749.562399,"white"
"top-left",1952.99873,"Blue"
"top-right",6266.79801,"Red"
"bottom-left",4694.7793,"Green"
"bottom-right",4106.60378,"Orange"
"center",16491.586666,"Yellow"
