,202 (11.2422) 
376,157 (11.9619) 
398,156 (10.3961) 
449,147 (9.96918) 
446,143 (7.58099) 
444,142 (24.0081) 
448,131 (5.80163) 
451,129 (54.3875) 
447,132 (17.9611) 
451,134 (17.5341) 
441,140 (16.3938) 
512,134 (14.9174) 
491,140 (13.5197) 
491,142 (12.2631) 
490,141 (11.2147) 
437,143 (25.5594) 
414,145 (8.80141) 
405,145 (8.62676) 
351,130 (7.62675) 
318,126 (22.9492) 
302,124 (25.6154) 
227,145 (3.76155) 
244,144 (18.5255) 
262,138 (18.075) 
212,136 (32.7023) 
238,138 (15.3426) 
185,135 (15.1004) 
232,121 (13.751) 
255,115 (14.4133) 
333,100 (12.6435) 
334,101 (11.3886) 
335,103 (6.44861) 
334,106 (22.8368) 
328,97 (38.254) 
329,97 (18.5298) 
319,86 (19.7112) 
325,99 (17.8427) 
338,111 (17.195) 
336,108 (16.0783) 
334,106 (14.8135) 
335,116 (12.4792) 
338,121 (11.6759) 
197,117 (26.1946) 
251,101 (10.8817) 
319,92 (9.88641) 
336,86 (13.8823) 
289,108 (8.15152) 
283,109 (7.63219) 
342,95 (21.1568) 
313,120 (22.0885) 
337,111 (19.4411) 
273,123 (34.8224) 
265,125 (18.0187) 
330,114 (16.2989) 
332,114 (15.904) 
269,108 (14.8916) 
342,90 (13.6444) 
324,87 (12.0333) 
337,79 (19.6219) 
350,75 (11.267) 
215,63 (24.6251) 
237,58 (6.42935) 
228,93 (21.721) 
189,87 (20.712) 
321,91 (19.9314) 
351,92 (18.8984) 
333,96 (17.1851) 
358,93 (15.9101) 
267,75 (15.1491) 
240,51 (30.3478) 
265,100 (12.7302) 
333,82 (12.4016) 
382,62 (16.8829) 
329,148 (12.1567) 
330,170 (9.85363) 
369,132 (8.92888) 
363,116 (6.46457) 
358,102 (21.7844) 
375,94 (36.2702) 
374,117 (18.6321) 
378,126 (18.0367) 
398,126 (16.9939) 
376,146 (16.0837) 
384,139 (14.381) 
378,138 (13.4854) 
380,132 (17.5826) 
384,135 (11.8659) 
254,142 (26.6537) 
282,142 (8.73675) 
313,139 (8.28755) 
349,130 (7.56551) 
363,131 (22.3581) 
371,125 (22.6923) 
363,120 (20.2601) 
365,125 (18.7503) 
338,243 (17.4343) 
368,140 (32.2134) 
358,174 (14.3726) 
349,204 (17.0244) 
353,222 (12.6929) 
318,195 (12.3609) 
316,193 (13.5783) 
328,183 (9.26179) 
296,270 (7.19093) 
300,267 (23.5038) 
364,179 (38.0503) 
375,161 (19.0194) 
379,165 (17.9894) 
380,155 (18.6153) 
352,156 (17.2129) 
415,167 (15.9798) 
446,172 (25.6776) 
407,159 (-1.77047) 
405,157 (12.0599) 
405,152 (27.2085) 
400,150 (9.76075) 
379,151 (8.09573) 
371,159 (7.7851) 
307,241 (22.1034) 
295,254 (20.5573) 
368,186 (19.4525) 
366,188 (18.2703) 
359,231 (17.4204) 
382,177 (32.4009) 
368,204 (16.6612) 
376,211 (22.6713) 
378,207 (14.8263) 
354,224 (13.0235) 
352,229 (10.7192) 
361,214 (9.50234) 
360,254 (8.73069) 
357,259 (7.66267) 
257,287 (38.5256) 
300,266 (21.3759) 
258,276 (20.0171) 
274,271 (19.6128) 
276,238 (19.058) 
330,200 (17.5191) 
335,188 (15.4953) 
361,181 (14.5997) 
360,181 (14.1907) 
371,196 (28.9754) 
395,191 (10.5457) 
383,211 (10.2051) 
387,208 (9.61438) 
390,203 (8.60025) 
380,206 (7.08576) 
391,199 (36.6303) 
399,202 (19.9219) 
396,207 (34.2939) 
393,213 (16.7063) 
401,217 (31.1194) 
371,234 (14.2169) 
328,249 (27.5591) 
310,287 (10.3983) 
334,232 (10.686) 
365,204 (25.0003) 
405,210 (6.61507) 
404,208 (21.5505) 
355,191 (22.1824) 
383,198 (20.8458) 
390,199 (18.562) 
361,197 (17.6706) 
375,193 (16.8985) 
383,191 (15.399) 
390,192 (30.921) 
391,193 (15.5255) 
378,194 (12.3154) 
382,218 (11.7486) 
397,217 (10.3171) 
335,286 (8.61397) 
346,272 (7.64261) 
367,249 (22.2744) 
326,284 (21.7071) 
358,250 (38.0789) 
351,262 (19.6531) 
375,247 (18.3092) 
396,223 (18.9458) 
332,287 (17.9646) 
342,264 (18.13) 
352,249 (18.4001) 
338,265 (13.0025) 
356,246 (12.0376) 
341,234 (26.6593) 
360,216 (9.04392) 
351,217 (7.80399) 
322,225 (24.8195) 
360,194 (7.09675) 
365,195 (20.393) 
358,203 (19.653) 
347,220 (19.0006) 
361,208 (17.2377) 
365,201 (32.7896) 
367,195 (14.5725) 
374,187 (15.1013) 
371,192 (14.2078) 
382,178 (12.2383) 
388,174 (10.631) 
357,200 (10.2109) 
325,218 (8.37608) 
346,200 (8.23436) 
345,192 (22.5897) 
353,187 (20.5856) 
359,182 (20.5858) 
362,192 (19.3844) 
348,214 (19.3919) 
346,226 (16.7792) 
365,205 (15.1518) 
348,222 (15.779) 
326,243 (13.8733) 
321,250 (28.6161) 
317,260 (11.1764) 
322,256 (10.0318) 
334,246 (9.9021) 
362,225 (8.97051) 
370,214 (6.29451) 
338,249 (21.7367) 
344,237 (20.9484) 
341,250 (19.424) 
355,228 (34.7343) 
360,219 (17.2156) 
345,262 (16.2327) 
358,244 (16.5054) 
373,213 (13.9465) 
349,259 (13.2176) 
350,243 (11.6784) 
338,258 (10.2601) 
335,265 (9.82715) 
318,278 (24.5503) 
308,274 (6.95668) 
329,225 (22.5964) 
309,255 (21.6618) 
